,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'first aid'}),frozenset({'fresh vegetables'}),0.0010638297872340426,0.24574468085106382,0.0010638297872340426,1.0,4.06926406926407,0.0008023992756903577,inf
1,frozenset({'packaged seafood'}),frozenset({'fresh vegetables'}),0.0010638297872340426,0.24574468085106382,0.0010638297872340426,1.0,4.06926406926407,0.0008023992756903577,inf
2,"frozenset({'soy lactosefree', 'chips pretzels'})",frozenset({'fresh fruits'}),0.0010638297872340426,0.10425531914893617,0.0010638297872340426,1.0,9.591836734693878,0.0009529198732458126,inf
3,"frozenset({'soy lactosefree', 'fresh fruits'})",frozenset({'chips pretzels'}),0.0010638297872340426,0.023404255319148935,0.0010638297872340426,1.0,42.72727272727273,0.0010389316432775012,inf
4,"frozenset({'chips pretzels', 'fresh fruits'})",frozenset({'soy lactosefree'}),0.0010638297872340426,0.02021276595744681,0.0010638297872340426,1.0,49.473684210526315,0.0010423268447261205,inf
6,"frozenset({'milk', 'fresh vegetables'})",frozenset({'tofu meat alternatives'}),0.0010638297872340426,0.018085106382978722,0.0010638297872340426,1.0,55.294117647058826,0.0010445903123585333,inf
7,"frozenset({'milk', 'tofu meat alternatives'})",frozenset({'fresh vegetables'}),0.0010638297872340426,0.24574468085106382,0.0010638297872340426,1.0,4.06926406926407,0.0008023992756903577,inf
8,"frozenset({'tofu meat alternatives', 'fresh vegetables'})",frozenset({'milk'}),0.0010638297872340426,0.023404255319148935,0.0010638297872340426,1.0,42.72727272727273,0.0010389316432775012,inf
9,"frozenset({'water seltzer sparkling water', 'baking ingredients'})",frozenset({'soy lactosefree'}),0.0010638297872340426,0.02021276595744681,0.0010638297872340426,1.0,49.473684210526315,0.0010423268447261205,inf
10,"frozenset({'water seltzer sparkling water', 'soy lactosefree'})",frozenset({'baking ingredients'}),0.0010638297872340426,0.018085106382978722,0.0010638297872340426,1.0,55.294117647058826,0.0010445903123585333,inf
11,"frozenset({'baking ingredients', 'soy lactosefree'})",frozenset({'water seltzer sparkling water'}),0.0010638297872340426,0.010638297872340425,0.0010638297872340426,1.0,94.0,0.0010525124490719782,inf
12,frozenset({'meat counter'}),frozenset({'packaged cheese'}),0.0010638297872340426,0.02021276595744681,0.0010638297872340426,1.0,49.473684210526315,0.0010423268447261205,inf
13,frozenset({'frozen breads doughs'}),frozenset({'dish detergents'}),0.0010638297872340426,0.005319148936170213,0.0010638297872340426,1.0,188.0,0.0010581711181530105,inf
