,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'yogurt', 'ice cream ice'})",frozenset({'baby food formula'}),0.004092769440654843,0.17871759890859482,0.004092769440654843,1.0,5.595419847328245,0.003361319513334537,inf
1,"frozenset({'ice cream ice', 'baby food formula'})",frozenset({'yogurt'}),0.004092769440654843,0.08867667121418826,0.004092769440654843,1.0,11.276923076923078,0.0037298362706104163,inf
2,frozenset({'popcorn jerky'}),frozenset({'fresh fruits'}),0.004092769440654843,0.13369713506139155,0.002728512960436562,0.6666666666666667,4.98639455782313,0.002181321411754196,2.5989085948158257
3,"frozenset({'poultry counter', 'soup broth bouillon'})",frozenset({'fresh herbs'}),0.001364256480218281,0.0068212824010914054,0.001364256480218281,1.0,146.6,0.0013549505014991932,inf
4,"frozenset({'soup broth bouillon', 'fresh herbs'})",frozenset({'poultry counter'}),0.001364256480218281,0.005457025920873124,0.001364256480218281,1.0,183.25,0.0013568116972430108,inf
5,"frozenset({'poultry counter', 'fresh herbs'})",frozenset({'soup broth bouillon'}),0.001364256480218281,0.005457025920873124,0.001364256480218281,1.0,183.25,0.0013568116972430108,inf
11,"frozenset({'other creams cheeses', 'packaged vegetables fruits'})",frozenset({'frozen produce'}),0.001364256480218281,0.020463847203274217,0.001364256480218281,1.0,48.86666666666666,0.0013363385440610174,inf
12,"frozenset({'frozen produce', 'other creams cheeses'})",frozenset({'packaged vegetables fruits'}),0.001364256480218281,0.06684856753069578,0.001364256480218281,1.0,14.959183673469386,0.00127305788877122,inf
13,"frozenset({'pasta sauce', 'fresh vegetables'})",frozenset({'fresh fruits'}),0.001364256480218281,0.13369713506139155,0.001364256480218281,1.0,7.479591836734693,0.001181859297324159,inf
14,"frozenset({'pasta sauce', 'fresh fruits'})",frozenset({'fresh vegetables'}),0.001364256480218281,0.11323328785811733,0.001364256480218281,1.0,8.831325301204819,0.0012097772334814226,inf
15,"frozenset({'energy granola bars', 'yogurt'})",frozenset({'chips pretzels'}),0.001364256480218281,0.02455661664392906,0.001364256480218281,1.0,40.72222222222222,0.0013307549568295648,inf
16,"frozenset({'energy granola bars', 'chips pretzels'})",frozenset({'yogurt'}),0.001364256480218281,0.08867667121418826,0.001364256480218281,1.0,11.276923076923078,0.0012432787568701388,inf
18,frozenset({'bulk grains rice dried goods'}),frozenset({'packaged cheese'}),0.001364256480218281,0.054570259208731244,0.001364256480218281,1.0,18.325,0.001289808650465578,inf
19,"frozenset({'dry pasta', 'milk'})",frozenset({'fresh fruits'}),0.001364256480218281,0.13369713506139155,0.001364256480218281,1.0,7.479591836734693,0.001181859297324159,inf
21,frozenset({'cold flu allergy'}),frozenset({'fresh vegetables'}),0.001364256480218281,0.11323328785811733,0.001364256480218281,1.0,8.831325301204819,0.0012097772334814226,inf
22,frozenset({'refrigerated pudding desserts'}),frozenset({'frozen meals'}),0.001364256480218281,0.015006821282401092,0.001364256480218281,1.0,66.63636363636363,0.0013437833270362877,inf
26,"frozenset({'other creams cheeses', 'plates bowls cups flatware'})",frozenset({'crackers'}),0.001364256480218281,0.013642564802182811,0.001364256480218281,1.0,73.3,0.0013456445227801052,inf
27,"frozenset({'plates bowls cups flatware', 'crackers'})",frozenset({'other creams cheeses'}),0.001364256480218281,0.015006821282401092,0.001364256480218281,1.0,66.63636363636363,0.0013437833270362877,inf
30,"frozenset({'yogurt', 'frozen produce'})",frozenset({'lunch meat'}),0.001364256480218281,0.010914051841746248,0.001364256480218281,1.0,91.625,0.0013493669142677404,inf
31,"frozenset({'yogurt', 'lunch meat'})",frozenset({'frozen produce'}),0.001364256480218281,0.020463847203274217,0.001364256480218281,1.0,48.86666666666666,0.0013363385440610174,inf
32,"frozenset({'frozen produce', 'lunch meat'})",frozenset({'yogurt'}),0.001364256480218281,0.08867667121418826,0.001364256480218281,1.0,11.276923076923078,0.0012432787568701388,inf
35,"frozenset({'packaged cheese', 'oils vinegars'})",frozenset({'fresh fruits'}),0.001364256480218281,0.13369713506139155,0.001364256480218281,1.0,7.479591836734693,0.001181859297324159,inf
37,"frozenset({'spreads', 'oils vinegars'})",frozenset({'fresh fruits'}),0.001364256480218281,0.13369713506139155,0.001364256480218281,1.0,7.479591836734693,0.001181859297324159,inf
38,"frozenset({'spreads', 'fresh fruits'})",frozenset({'oils vinegars'}),0.001364256480218281,0.008185538881309686,0.001364256480218281,1.0,122.16666666666667,0.0013530893057553757,inf
40,"frozenset({'spreads', 'oils vinegars'})",frozenset({'fresh vegetables'}),0.001364256480218281,0.11323328785811733,0.001364256480218281,1.0,8.831325301204819,0.0012097772334814226,inf
41,"frozenset({'spreads', 'fresh vegetables'})",frozenset({'oils vinegars'}),0.001364256480218281,0.008185538881309686,0.001364256480218281,1.0,122.16666666666667,0.0013530893057553757,inf
44,"frozenset({'canned jarred vegetables', 'baby food formula'})",frozenset({'yogurt'}),0.001364256480218281,0.08867667121418826,0.001364256480218281,1.0,11.276923076923078,0.0012432787568701388,inf
45,"frozenset({'spreads', 'oils vinegars', 'fresh vegetables'})",frozenset({'fresh fruits'}),0.001364256480218281,0.13369713506139155,0.001364256480218281,1.0,7.479591836734693,0.001181859297324159,inf
46,"frozenset({'spreads', 'oils vinegars', 'fresh fruits'})",frozenset({'fresh vegetables'}),0.001364256480218281,0.11323328785811733,0.001364256480218281,1.0,8.831325301204819,0.0012097772334814226,inf
47,"frozenset({'spreads', 'fresh fruits', 'fresh vegetables'})",frozenset({'oils vinegars'}),0.001364256480218281,0.008185538881309686,0.001364256480218281,1.0,122.16666666666667,0.0013530893057553757,inf
48,"frozenset({'fresh fruits', 'oils vinegars', 'fresh vegetables'})",frozenset({'spreads'}),0.001364256480218281,0.010914051841746248,0.001364256480218281,1.0,91.625,0.0013493669142677404,inf
49,"frozenset({'spreads', 'oils vinegars'})","frozenset({'fresh fruits', 'fresh vegetables'})",0.001364256480218281,0.0068212824010914054,0.001364256480218281,1.0,146.6,0.0013549505014991932,inf
50,"frozenset({'spreads', 'fresh vegetables'})","frozenset({'oils vinegars', 'fresh fruits'})",0.001364256480218281,0.002728512960436562,0.001364256480218281,1.0,366.5,0.001360534088730646,inf
51,"frozenset({'spreads', 'fresh fruits'})","frozenset({'oils vinegars', 'fresh vegetables'})",0.001364256480218281,0.002728512960436562,0.001364256480218281,1.0,366.5,0.001360534088730646,inf
54,"frozenset({'spreads', 'packaged cheese'})",frozenset({'bulk grains rice dried goods'}),0.001364256480218281,0.001364256480218281,0.001364256480218281,1.0,733.0,0.0013623952844744635,inf
55,"frozenset({'spreads', 'bulk grains rice dried goods'})",frozenset({'packaged cheese'}),0.001364256480218281,0.054570259208731244,0.001364256480218281,1.0,18.325,0.001289808650465578,inf
56,"frozenset({'packaged cheese', 'bulk grains rice dried goods'})",frozenset({'spreads'}),0.001364256480218281,0.010914051841746248,0.001364256480218281,1.0,91.625,0.0013493669142677404,inf
57,frozenset({'bulk grains rice dried goods'}),"frozenset({'spreads', 'packaged cheese'})",0.001364256480218281,0.001364256480218281,0.001364256480218281,1.0,733.0,0.0013623952844744635,inf
58,"frozenset({'popcorn jerky', 'oils vinegars'})",frozenset({'fresh fruits'}),0.001364256480218281,0.13369713506139155,0.001364256480218281,1.0,7.479591836734693,0.001181859297324159,inf
61,"frozenset({'yogurt', 'canned fruit applesauce'})",frozenset({'fresh fruits'}),0.001364256480218281,0.13369713506139155,0.001364256480218281,1.0,7.479591836734693,0.001181859297324159,inf
62,"frozenset({'fresh fruits', 'canned fruit applesauce'})",frozenset({'yogurt'}),0.001364256480218281,0.08867667121418826,0.001364256480218281,1.0,11.276923076923078,0.0012432787568701388,inf
66,"frozenset({'prepared meals', 'energy granola bars'})",frozenset({'baby food formula'}),0.001364256480218281,0.17871759890859482,0.001364256480218281,1.0,5.595419847328245,0.001120439837778179,inf
67,"frozenset({'energy granola bars', 'baby food formula'})",frozenset({'prepared meals'}),0.001364256480218281,0.004092769440654843,0.001364256480218281,1.0,244.33333333333334,0.0013586728929868284,inf
68,"frozenset({'prepared meals', 'baby food formula'})",frozenset({'energy granola bars'}),0.001364256480218281,0.010914051841746248,0.001364256480218281,1.0,91.625,0.0013493669142677404,inf
71,"frozenset({'fresh dips tapenades', 'frozen breads doughs'})",frozenset({'frozen vegan vegetarian'}),0.001364256480218281,0.0068212824010914054,0.001364256480218281,1.0,146.6,0.0013549505014991932,inf
72,"frozenset({'fresh dips tapenades', 'frozen vegan vegetarian'})",frozenset({'frozen breads doughs'}),0.001364256480218281,0.002728512960436562,0.001364256480218281,1.0,366.5,0.001360534088730646,inf
73,"frozenset({'frozen breads doughs', 'frozen vegan vegetarian'})",frozenset({'fresh dips tapenades'}),0.001364256480218281,0.015006821282401092,0.001364256480218281,1.0,66.63636363636363,0.0013437833270362877,inf
77,"frozenset({'baking ingredients', 'soy lactosefree'})",frozenset({'hot cereal pancake mixes'}),0.001364256480218281,0.013642564802182811,0.001364256480218281,1.0,73.3,0.0013456445227801052,inf
78,"frozenset({'baking ingredients', 'hot cereal pancake mixes'})",frozenset({'soy lactosefree'}),0.001364256480218281,0.015006821282401092,0.001364256480218281,1.0,66.63636363636363,0.0013437833270362877,inf
79,"frozenset({'hot cereal pancake mixes', 'soy lactosefree'})",frozenset({'baking ingredients'}),0.001364256480218281,0.0068212824010914054,0.001364256480218281,1.0,146.6,0.0013549505014991932,inf
83,"frozenset({'spreads', 'fresh vegetables'})",frozenset({'fresh fruits'}),0.001364256480218281,0.13369713506139155,0.001364256480218281,1.0,7.479591836734693,0.001181859297324159,inf
84,"frozenset({'spreads', 'fresh fruits'})",frozenset({'fresh vegetables'}),0.001364256480218281,0.11323328785811733,0.001364256480218281,1.0,8.831325301204819,0.0012097772334814226,inf
85,"frozenset({'popcorn jerky', 'packaged cheese'})",frozenset({'fresh fruits'}),0.001364256480218281,0.13369713506139155,0.001364256480218281,1.0,7.479591836734693,0.001181859297324159,inf
